"Date/Time (PST)","Battery Voltage  (v) ","Temperature  (deg F) ","Relative Humidity  (%) ","Precipitation  ("") ","Total Snow Depth  ("") ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Minimum  (mph) ","Wind Speed Maximum  (mph) ","Barometric Pressure  (mb) ","Equipment Temperature  (deg F) ","Solar Radiation  (W/m2) ","24 Hour Snow  ("") ","Intermittent/Shot Snow  ("") ","Net Solar  (mJ/m2) ","Soil Moisture A  (VWC) ","Soil Moisture B  (VWC) ","Soil Moisture C  (VWC) ","Soil Temperature A  (deg F) ","Soil Temperature B  (deg F) ","Soil Temperature C  (deg F) "
"2021-12-31 23:00:00",13.53,5.787,84,,,235.8,1.471,0,6.132,,,,,,,,,,,,
"2021-12-31 22:00:00",13.52,5.463,83.9,,,243.8,0.761,0,7.392,,,,,,,,,,,,
"2021-12-31 21:00:00",13.52,3.372,83.4,,,244,0.618,0,6.098,,,,,,,,,,,,
"2021-12-31 20:00:00",13.52,2.514,83.3,,,239,1.42,0,11.65,,,,,,,,,,,,
"2021-12-31 19:00:00",13.52,2.976,83.4,,,244.8,0.401,0,4.837,,,,,,,,,,,,
"2021-12-31 18:00:00",13.51,4.184,83.9,,,64.18,1.592,0,5.757,,,,,,,,,,,,
"2021-12-31 17:00:00",13.51,4.192,84.1,,,257,0.151,0,2.078,,,,,,,,,,,,
"2021-12-31 16:00:00",13.5,5.837,84.5,,,350.4,0.075,0,0.715,,,,,,,,,,,,
"2021-12-31 15:00:00",13.5,7.551,84.8,,,241.6,0.593,0,5.757,,,,,,,,,,,,
"2021-12-31 14:00:00",13.5,11.7,86.3,,,195.1,0.34,0,4.463,,,,,,,,,,,,
"2021-12-31 13:00:00",13.51,11.14,86.1,,,207.6,0.277,0,5.451,,,,,,,,,,,,
"2021-12-31 12:00:00",13.51,11.37,86.1,,,179.1,0.097,0,1.158,,,,,,,,,,,,
"2021-12-31 11:00:00",13.53,11.3,86.1,,,186.5,6.555,0,28.48,,,,,,,,,,,,
"2021-12-31 10:00:00",13.54,10.79,85,,,268.4,12.42,0.238,27.42,,,,,,,,,,,,
"2021-12-31 09:00:00",13.55,10.83,85.7,,,272.7,14.86,0,33.15,,,,,,,,,,,,
"2021-12-31 08:00:00",13.55,10.63,85.8,,,268.4,19.42,8.65,34.1,,,,,,,,,,,,
"2021-12-31 07:00:00",13.55,10.75,86,,,261.5,15.28,0.307,29.06,,,,,,,,,,,,
"2021-12-31 06:00:00",13.55,10.7,86,,,250,13.44,4.122,24.63,,,,,,,,,,,,
"2021-12-31 05:00:00",13.55,10.97,86.1,,,251.2,13.91,5.553,27.46,,,,,,,,,,,,
"2021-12-31 04:00:00",13.55,10.84,86.1,,,253.3,19.97,4.701,34.78,,,,,,,,,,,,
"2021-12-31 03:00:00",13.55,10.52,86.1,,,253.4,23.41,12.54,36.72,,,,,,,,,,,,
"2021-12-31 02:00:00",13.55,10.43,86,,,248.2,25.6,12.64,42.82,,,,,,,,,,,,
"2021-12-31 01:00:00",13.55,9.93,85.9,,,253.3,33.34,18.91,51.27,,,,,,,,,,,,
"2021-12-31 00:00:00",13.54,10.97,85.9,,,255.3,31.75,16.42,51.34,,,,,,,,,,,,
"2021-12-30 23:00:00",13.54,11.75,86.4,,,262.4,34.35,22.82,52.05,,,,,,,,,,,,
"2021-12-30 22:00:00",13.53,12.6,86.6,,,264.5,31.95,18.57,46.81,,,,,,,,,,,,
"2021-12-30 21:00:00",13.53,14.21,87,,,253.6,26.8,11.99,44.46,,,,,,,,,,,,
"2021-12-30 20:00:00",13.52,14.14,87.1,,,255.5,34.66,16.35,51.64,,,,,,,,,,,,
"2021-12-30 19:00:00",13.52,14.98,87.2,,,252.7,29.69,13.42,49.4,,,,,,,,,,,,
"2021-12-30 18:00:00",13.51,15.78,87.5,,,250.7,27.82,11.38,56.24,,,,,,,,,,,,
"2021-12-30 17:00:00",13.51,17.14,87.9,,,245.6,24.64,6.813,49.29,,,,,,,,,,,,
"2021-12-30 16:00:00",13.52,17.11,88,,,249,21.57,4.94,48.54,,,,,,,,,,,,
"2021-12-30 15:00:00",13.52,16.92,87.9,,,245.4,21.64,6.2,53.35,,,,,,,,,,,,
"2021-12-30 14:00:00",13.53,16.7,87.8,,,251.1,26.74,9.4,47.11,,,,,,,,,,,,
"2021-12-30 13:00:00",13.54,16.57,87.6,,,252.5,24.83,9.64,43.94,,,,,,,,,,,,
"2021-12-30 12:00:00",13.55,16.57,87.5,,,247.2,23.5,7.971,48.78,,,,,,,,,,,,
"2021-12-30 11:00:00",13.57,16.05,87.5,,,246.8,23.23,9.81,42.79,,,,,,,,,,,,
"2021-12-30 10:00:00",13.59,15.97,87.2,,,251.8,28.14,11.69,48.89,,,,,,,,,,,,
"2021-12-30 09:00:00",13.57,16.89,87.7,,,239.5,23.91,9.81,58.36,,,,,,,,,,,,
"2021-12-30 08:00:00",13.54,15.89,87.7,,,228.2,24.32,6.132,45.41,,,,,,,,,,,,
"2021-12-30 07:00:00",13.53,13.87,87.2,,,240.3,19.06,7.937,40.13,,,,,,,,,,,,
"2021-12-30 06:00:00",13.53,11.85,86.7,,,244.7,27.84,10.83,49.46,,,,,,,,,,,,
"2021-12-30 05:00:00",13.53,10.82,86.3,,,253.5,35.18,19.42,53.04,,,,,,,,,,,,
"2021-12-30 04:00:00",13.52,11.14,86.6,,,260.6,42.5,28.68,56.55,,,,,,,,,,,,
"2021-12-30 03:00:00",13.52,12.57,86.6,,,262.8,45.57,32.12,60.57,,,,,,,,,,,,
"2021-12-30 02:00:00",13.51,15.18,87.6,,,262.6,47.5,29.4,64.66,,,,,,,,,,,,
"2021-12-30 01:00:00",13.51,15.95,87.5,,,261.8,46.69,31.61,66.46,,,,,,,,,,,,
"2021-12-30 00:00:00",13.5,15.24,87.3,,,270.8,41.49,24.87,61.73,,,,,,,,,,,,
"2021-12-29 23:00:00",13.49,13.33,84.7,,,273.9,31.94,21.5,44.86,,,,,,,,,,,,
"2021-12-29 22:00:00",13.48,16.77,87,,,278.1,31.44,10.8,47.59,,,,,,,,,,,,
"2021-12-29 21:00:00",13.48,15.53,87.4,,,23.25,9.01,1.022,22.52,,,,,,,,,,,,
"2021-12-29 20:00:00",13.47,14.46,87.1,,,44.94,4.069,0,13.08,,,,,,,,,,,,
"2021-12-29 19:00:00",13.47,12.08,86.6,,,30.29,3.214,0,11.62,,,,,,,,,,,,
"2021-12-29 18:00:00",13.46,11.89,86.5,,,237.3,0.667,0,6.097,,,,,,,,,,,,
"2021-12-29 17:00:00",13.46,11.74,86.3,,,46.3,1.932,0,9.71,,,,,,,,,,,,
"2021-12-29 16:00:00",13.46,14.49,87,,,356.4,0.207,0,2.963,,,,,,,,,,,,
"2021-12-29 15:00:00",13.47,12.91,86.4,,,240.6,1.61,0,14.38,,,,,,,,,,,,
"2021-12-29 14:00:00",13.48,11.79,86.6,,,223.3,3.455,0,13.15,,,,,,,,,,,,
"2021-12-29 13:00:00",13.47,12.95,86.9,,,226,4.306,0,9.37,,,,,,,,,,,,
"2021-12-29 12:00:00",13.49,13.3,87,,,222.3,4.438,0,10.59,,,,,,,,,,,,
"2021-12-29 11:00:00",13.49,14.31,87.3,,,205.8,0.107,0,1.056,,,,,,,,,,,,
"2021-12-29 10:00:00",13.51,14.3,87.3,,,190.7,0.103,0,1.09,,,,,,,,,,,,
"2021-12-29 09:00:00",13.52,14.11,87.3,,,220.9,0.048,0,0.341,,,,,,,,,,,,
"2021-12-29 08:00:00",13.52,13.38,87.1,,,100.3,0.048,0,0.341,,,,,,,,,,,,
"2021-12-29 07:00:00",13.52,13.74,87.2,,,67.26,0.034,0,0.238,,,,,,,,,,,,
"2021-12-29 06:00:00",13.52,13.71,87.2,,,67.77,0.016,0,0.102,,,,,,,,,,,,
"2021-12-29 05:00:00",13.52,13.85,87.2,,,146.9,0.423,0,4.837,,,,,,,,,,,,
"2021-12-29 04:00:00",13.52,14.44,87.4,,,98.8,1.916,0,12.43,,,,,,,,,,,,
"2021-12-29 03:00:00",13.52,15.91,87.7,,,248.7,7.746,0,19.83,,,,,,,,,,,,
"2021-12-29 02:00:00",13.52,16.4,87.8,,,261.9,15.51,3.304,23.98,,,,,,,,,,,,
"2021-12-29 01:00:00",13.53,16.58,87.8,,,258.5,16.14,7.12,24.63,,,,,,,,,,,,
"2021-12-29 00:00:00",13.53,17.21,88.1,,,257.7,10.49,3.338,19.76,,,,,,,,,,,,
"2021-12-28 23:00:00",13.53,17.21,88,,,268.6,16.04,8.41,23.91,,,,,,,,,,,,
"2021-12-28 22:00:00",13.53,16.67,87.7,,,272.1,13.47,3.407,22.24,,,,,,,,,,,,
"2021-12-28 21:00:00",13.53,16.27,87.5,,,267,21.03,9.91,33.79,,,,,,,,,,,,
"2021-12-28 20:00:00",13.53,15.77,87.3,,,261.6,29.06,16.73,40.1,,,,,,,,,,,,
"2021-12-28 19:00:00",13.53,15.76,87.6,,,270.9,20.17,7.154,38.36,,,,,,,,,,,,
"2021-12-28 18:00:00",13.54,14.97,87.4,,,277.2,19.92,9.88,32.94,,,,,,,,,,,,
"2021-12-28 17:00:00",13.52,14.72,87.3,,,307.2,10.64,0,30.97,,,,,,,,,,,,
"2021-12-28 16:00:00",13.51,15.2,87.5,,,18.31,7.32,1.09,22.35,,,,,,,,,,,,
"2021-12-28 15:00:00",13.52,17.12,87.8,,,356.9,9.73,0.102,27.59,,,,,,,,,,,,
"2021-12-28 14:00:00",13.52,15.62,87.5,,,278.4,20.3,7.46,34.75,,,,,,,,,,,,
"2021-12-28 13:00:00",13.53,16.15,87.6,,,303.2,12.23,0,30.05,,,,,,,,,,,,
"2021-12-28 12:00:00",13.54,15.14,87.4,,,29.12,4.897,0,23.06,,,,,,,,,,,,
"2021-12-28 11:00:00",13.54,13.82,87,,,356,7.566,0,29.02,,,,,,,,,,,,
"2021-12-28 10:00:00",13.55,12.71,86.7,,,17.8,10.29,0,28.31,,,,,,,,,,,,
"2021-12-28 09:00:00",13.55,12.89,86.7,,,282.1,18.53,6.984,31.2,,,,,,,,,,,,
"2021-12-28 08:00:00",13.56,12.63,86.6,,,289.5,17.9,8.65,27.12,,,,,,,,,,,,
"2021-12-28 07:00:00",13.56,12.07,86.4,,,300.6,16.74,5.28,30.39,,,,,,,,,,,,
"2021-12-28 06:00:00",13.56,11.36,86.2,,,310.1,13.45,5.791,28.65,,,,,,,,,,,,
"2021-12-28 05:00:00",13.56,10.54,85.9,,,324.4,12.23,2.487,27.15,,,,,,,,,,,,
"2021-12-28 04:00:00",13.56,10.19,85.9,,,291.5,16.04,3.952,31.07,,,,,,,,,,,,
"2021-12-28 03:00:00",13.57,9.59,85.7,,,323.5,9.38,0,25.24,,,,,,,,,,,,
"2021-12-28 02:00:00",13.57,9.3,85.6,,,259.2,16.51,0,33.9,,,,,,,,,,,,
"2021-12-28 01:00:00",13.57,8.34,85.3,,,254,21.7,12.43,28.79,,,,,,,,,,,,
"2021-12-28 00:00:00",13.57,7.985,85.2,,,256.3,28.62,16.22,41.22,,,,,,,,,,,,
"2021-12-27 23:00:00",13.57,7.817,85.2,,,267.4,26.35,11.41,39.04,,,,,,,,,,,,
"2021-12-27 22:00:00",13.57,7.075,84.9,,,290.6,16.7,6.575,37.2,,,,,,,,,,,,
"2021-12-27 21:00:00",13.57,7.306,85,,,301.7,20.51,6.984,44.83,,,,,,,,,,,,
"2021-12-27 20:00:00",13.57,5.403,84.2,,,336.9,13.04,2.112,28.28,,,,,,,,,,,,
"2021-12-27 19:00:00",13.57,3.615,83.8,,,48.85,3.759,0,13.29,,,,,,,,,,,,
"2021-12-27 18:00:00",13.58,3.95,83.9,,,338.3,13,0,49.7,,,,,,,,,,,,
"2021-12-27 17:00:00",13.54,3.201,83.7,,,7.557,7.665,1.431,36.55,,,,,,,,,,,,
"2021-12-27 16:00:00",13.53,4.606,84.4,,,25.37,6.189,0,18.5,,,,,,,,,,,,
"2021-12-27 15:00:00",13.53,4.651,83.9,,,348.1,6.832,0,29.47,,,,,,,,,,,,
"2021-12-27 14:00:00",13.53,3.551,83.8,,,266.6,21.53,9.33,39.24,,,,,,,,,,,,
"2021-12-27 13:00:00",13.55,4.625,84.1,,,266.7,20.42,8.93,32.63,,,,,,,,,,,,
"2021-12-27 12:00:00",13.55,5.117,84.3,,,264.5,20.14,8.76,32.74,,,,,,,,,,,,
"2021-12-27 11:00:00",13.55,5.215,84.4,,,259.2,19.17,9.4,29.13,,,,,,,,,,,,
"2021-12-27 10:00:00",13.57,3.741,83.8,,,264.6,14.74,4.123,24.53,,,,,,,,,,,,
