id,forecast_zone,danger_below_treeline,danger_at_treeline,danger_above_treeline,danger_rating,danger_level_text,start_date,end_date,avalanche_problems
100437,Mt Hood,1,1,1,1,low,2021-04-18T01:30:00+00:00,2021-04-19T01:30:00+00:00,[]
100389,Mt Hood,1,1,1,1,low,2021-04-17T01:30:00+00:00,2021-04-18T01:30:00+00:00,[]
100343,Mt Hood,1,1,1,1,low,2021-04-16T01:30:00+00:00,2021-04-17T01:30:00+00:00,"[{'avalanche_problem_name': 'Dry Loose', 'problem_type_id': 1, 'rank': 1, 'likelihood': 'unlikely', 'size': ['1', '2'], 'aspect': [], 'description': 'Dry Loose avalanches are the release of dry unconsolidated snow and typically occur within layers of soft snow near the surface of the snowpack. These avalanches start at a point and entrain snow as they move downhill, forming a fan-shaped avalanche. Other names for loose-dry avalanches include point-release avalanches or sluffs.'}]"
100297,Mt Hood,1,1,1,1,low,2021-04-15T01:30:00+00:00,2021-04-16T01:30:00+00:00,[]
100261,Mt Hood,1,1,1,1,low,2021-04-14T01:30:00+00:00,2021-04-15T01:30:00+00:00,[]
100225,Mt Hood,1,1,1,1,low,2021-04-13T17:38:00+00:00,2021-04-14T01:30:00+00:00,[]
100167,Mt Hood,1,1,1,1,low,2021-04-12T01:30:00+00:00,2021-04-13T01:30:00+00:00,[]
100107,Mt Hood,1,2,2,2,moderate,2021-04-11T01:30:00+00:00,2021-04-12T01:30:00+00:00,"[{'avalanche_problem_name': 'Wind Slab', 'problem_type_id': 3, 'rank': 1, 'likelihood': 'possible', 'size': ['1', '1'], 'aspect': ['north upper', 'northeast upper', 'east upper', 'southeast upper', 'south upper', 'southwest upper', 'west upper', 'northwest upper', 'north middle', 'northeast middle', 'east middle', 'southeast middle', 'south middle', 'southwest middle', 'west middle', 'northwest middle'], 'description': 'Wind Slab avalanches are the release of a cohesive layer of snow (a slab) formed by the wind. Wind typically transports snow from the upwind sides of terrain features and deposits snow on the downwind side. Wind slabs are often smooth and rounded and sometimes sound hollow, and can range from soft to hard. Wind slabs that form over a persistent weak layer (surface hoar, depth hoar, or near-surface facets) may be termed Persistent Slabs or may develop into Persistent Slabs.'}]"
100042,Mt Hood,2,3,3,3,considerable,2021-04-10T01:30:00+00:00,2021-04-11T01:30:00+00:00,"[{'avalanche_problem_name': 'Wind Slab', 'problem_type_id': 3, 'rank': 1, 'likelihood': 'possible', 'size': ['1', '2'], 'aspect': ['north upper', 'northeast upper', 'east upper', 'southeast upper', 'south upper', 'southwest upper', 'west upper', 'northwest upper', 'north middle', 'northeast middle', 'east middle', 'southeast middle', 'south middle', 'southwest middle', 'west middle', 'northwest middle'], 'description': 'Wind Slab avalanches are the release of a cohesive layer of snow (a slab) formed by the wind. Wind typically transports snow from the upwind sides of terrain features and deposits snow on the downwind side. Wind slabs are often smooth and rounded and sometimes sound hollow, and can range from soft to hard. Wind slabs that form over a persistent weak layer (surface hoar, depth hoar, or near-surface facets) may be termed Persistent Slabs or may develop into Persistent Slabs.'}, {'avalanche_problem_name': 'Wet Loose', 'problem_type_id': 6, 'rank': 2, 'likelihood': 'unlikely', 'size': ['1', '2'], 'aspect': ['west middle', 'west lower', 'southwest lower', 'southwest middle', 'south middle', 'south lower', 'southeast lower', 'southeast middle', 'east middle', 'east lower'], 'description': 'Wet Loose avalanches are the release of wet unconsolidated snow or slush. These avalanches typically occur within layers of wet snow near the surface of the snowpack, but they may quickly gouge into lower snowpack layers. Like Loose Dry Avalanches, they start at a point and entrain snow as they move downhill, forming a fan-shaped avalanche. Other names for loose-wet avalanches include point-release avalanches or sluffs. Loose Wet avalanches can trigger slab avalanches that break into deeper snow layers.'}]"
99979,Mt Hood,1,1,2,2,moderate,2021-04-09T01:30:00+00:00,2021-04-10T01:30:00+00:00,"[{'avalanche_problem_name': 'Wind Slab', 'problem_type_id': 3, 'rank': 1, 'likelihood': 'possible', 'size': ['1', '1'], 'aspect': ['north upper', 'northeast upper', 'east upper', 'southeast upper', 'south upper', 'southwest upper', 'west upper', 'northwest upper'], 'description': 'Wind Slab avalanches are the release of a cohesive layer of snow (a slab) formed by the wind. Wind typically transports snow from the upwind sides of terrain features and deposits snow on the downwind side. Wind slabs are often smooth and rounded and sometimes sound hollow, and can range from soft to hard. Wind slabs that form over a persistent weak layer (surface hoar, depth hoar, or near-surface facets) may be termed Persistent Slabs or may develop into Persistent Slabs.'}]"
99913,Mt Hood,2,2,3,3,considerable,2021-04-08T01:30:00+00:00,2021-04-09T01:30:00+00:00,"[{'avalanche_problem_name': 'Wind Slab', 'problem_type_id': 3, 'rank': 1, 'likelihood': 'possible', 'size': ['1', '1'], 'aspect': ['north upper', 'northeast upper', 'east upper', 'southeast upper', 'south upper', 'southwest upper', 'west upper', 'northwest upper', 'north middle', 'northeast middle', 'east middle', 'southeast middle', 'south middle', 'southwest middle', 'west middle', 'northwest middle'], 'description': 'Wind Slab avalanches are the release of a cohesive layer of snow (a slab) formed by the wind. Wind typically transports snow from the upwind sides of terrain features and deposits snow on the downwind side. Wind slabs are often smooth and rounded and sometimes sound hollow, and can range from soft to hard. Wind slabs that form over a persistent weak layer (surface hoar, depth hoar, or near-surface facets) may be termed Persistent Slabs or may develop into Persistent Slabs.'}, {'avalanche_problem_name': 'Wet Loose', 'problem_type_id': 6, 'rank': 2, 'likelihood': 'possible', 'size': ['1', '1'], 'aspect': ['north lower', 'northeast lower', 'east lower', 'southeast lower', 'south lower', 'southwest lower', 'west lower', 'northwest lower', 'north middle', 'northeast middle', 'east middle', 'southeast middle', 'south middle', 'southwest middle', 'west middle', 'northwest middle'], 'description': 'Wet Loose avalanches are the release of wet unconsolidated snow or slush. These avalanches typically occur within layers of wet snow near the surface of the snowpack, but they may quickly gouge into lower snowpack layers. Like Loose Dry Avalanches, they start at a point and entrain snow as they move downhill, forming a fan-shaped avalanche. Other names for loose-wet avalanches include point-release avalanches or sluffs. Loose Wet avalanches can trigger slab avalanches that break into deeper snow layers.'}]"
99854,Mt Hood,1,1,1,1,low,2021-04-07T01:30:00+00:00,2021-04-08T01:30:00+00:00,[]
99787,Mt Hood,1,1,1,1,low,2021-04-06T01:30:00+00:00,2021-04-07T01:30:00+00:00,[]
99728,Mt Hood,1,1,1,1,low,2021-04-05T01:30:00+00:00,2021-04-06T01:30:00+00:00,[]
99662,Mt Hood,1,1,1,1,low,2021-04-04T01:32:00+00:00,2021-04-05T01:30:00+00:00,[]
